uid	name	regulation	correct.pred	incorrect.pred	score	total.reachable	significant.reachable	total.ambiguous	significant.ambiguous	unknow	quaternary.pval	ternary.pval	enrichment.pval	quaternary.qval	ternary.qval	enrichment.qval
2079	CD226	down	0	0	0	6	0	1	0	7802	0.949573245062912	0.948951987495868	1	0.994137391564473	0.999621669500548	0.928721313574718
2081	DOCK1	up	1	0	1	13	1	0	0	7795	0.125559050005798	0.125559050005798	0.150101533609121	0.957305165869863	0.997147724884404	0.661675112779106
2081	DOCK1	down	0	1	-1	13	1	0	0	7795	0.992276683346421	0.992276683346421	0.150101533609121	0.99438827786181	0.999638182156261	0.661675112779106
2082	IL18	up	1	0	1	45	1	4	0	7763	0.361044021721217	0.33080426717082	0.431153515876805	0.984726851600731	0.998915479984228	0.84888983600437
2082	IL18	down	0	1	-1	45	1	4	0	7763	0.938421885898162	0.935674055170736	0.431153515876805	0.994068138863082	0.999616302760648	0.84888983600437
2086	ANK3	up	0	0	0	12	0	2	0	7796	0.983082042237207	0.982657186293088	0.999999999993848	0.99433608941395	0.999634641517574	0.928721313574311
2086	ANK3	down	0	0	0	12	0	2	0	7796	0.903711476423034	0.901386411264426	0.999999999993848	0.993841706690639	0.999601713196998	0.928721313574311
2087	DSC2	up	0	0	0	8	0	2	0	7800	0.989378672432785	0.989110970216297	1	0.994371932953493	0.999637024555368	0.928721313574718
2087	DSC2	down	0	0	0	8	0	2	0	7800	0.940627773088402	0.939163469287023	1	0.994081967477669	0.999617727823261	0.928721313574718
2090	MYCN	up	0	0	0	39	0	24	0	7769	0.981680459496159	0.975352616737306	0.999999999997782	0.994328048698861	0.999631906297472	0.928721313574571
2090	MYCN	down	0	0	0	39	0	24	0	7769	0.891600104045705	0.856677728223025	0.999999999997782	0.993758575403311	0.999580935936628	0.928721313574571
2091	FER	up	0	0	0	16	0	2	0	7792	0.977357636751918	0.976791093339967	1	0.994303104750087	0.999632448173382	0.928721313574718
2091	FER	down	0	0	0	16	0	2	0	7792	0.868769212506005	0.865667163069184	1	0.993595603837448	0.999585285861131	0.928721313574718
2093	PTPRO	up	0	0	0	17	0	12	0	7791	0.992087269656121	0.990810575781844	1	0.994387212460618	0.999637646966513	0.928721313574718
2093	PTPRO	down	0	0	0	17	0	12	0	7791	0.955871756921884	0.948882001130628	1	0.994175796973635	0.999621641606713	0.928721313574718
2094	EPS8	up	0	0	0	7	0	1	0	7801	0.989246944329075	0.989112285060652	1	0.994371187738614	0.999637025037702	0.928721313574718
2094	EPS8	down	0	0	0	7	0	1	0	7801	0.939907462657735	0.939170987277604	1	0.994077458976573	0.99961773088215	0.928721313574718
2097	POU4F2	up	0	0	0	8	0	4	0	7800	0.992932767920086	0.992571319363035	1	0.994391965036795	0.999638289519839	0.928721313574718
2097	POU4F2	down	0	0	0	8	0	4	0	7800	0.960834126031361	0.958857202461864	1	0.994205702634271	0.999625576278099	0.928721313574718
2098	ASAP2	up	0	0	0	24	0	0	0	7784	0.964418873272606	0.964418873272606	0.999999999997583	0.994227115718317	0.999627734724319	0.928721313574558
2098	ASAP2	down	0	0	0	24	0	0	0	7784	0.784575877515832	0.784575877515832	0.999999999997583	0.992913214486503	0.999542441929678	0.928721313574558
2099	ACSL1	up	0	0	0	16	0	1	0	7792	0.975715390995763	0.975413743159991	1	0.994293570910114	0.999631929356374	0.928721313574718
2099	ACSL1	down	0	0	0	16	0	1	0	7792	0.858711047741896	0.857059800953212	1	0.993521074550248	0.99958112267492	0.928721313574718
2101	TJP1	up	0	0	0	16	0	6	0	7792	0.983893680318719	0.982649206695296	1	0.994340735271237	0.999634638551767	0.928721313574718
2101	TJP1	down	0	0	0	16	0	6	0	7792	0.908155921246414	0.901339010046034	1	0.99387166020449	0.999601692259526	0.928721313574718
2102	FBXW7	up	0	0	0	10	2	4	2	7798	0.00188197752056891	0.948837962398135	0.0064419926337613	0.286021201157827	0.999621624052483	0.27712214579759
2102	FBXW7	down	0	0	0	10	2	4	2	7798	0.00445887491260581	0.981174408277623	0.0064419926337613	0.443286265436295	0.999634089579722	0.27712214579759
